Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
02/12/2013,"J.P. Morgan Chase, Capital One",New York,New York,CARD,BSF,"6,000","Two men face charges of conspiracy to commit bank fraud, conspiracy to commit access device fraud, and aggravated identity theft after being indicted for attaching skimming devices to ATMs in New York, New Jersey, Illinois, and Wisconsin.  At least nine other people are believed to have participated in the bank fraud scheme.  Over 6,000 J.P. Morgan Chase and Capital One bank accounts were defrauded for over $3 million.",Media,,2013,40.714353,-74.005973
2-25-2013,Sprouts,Phoenix,Arizona,CARD,BSR,0,A number of credit card terminals in 19 California and Arizona stores were affected by point-of-sale malware between January 25 and 29.  Credit card and debit card numbers were exposed.  Customer PINs associated with the payment cards were not affected. Sprouts identified the issue within a few days of the breach and updated customer information protection procedures in all of its stores.,Media,,2013,33.448377,-112.074037
4-15-2013,Wawa,Burlington,New Jersey,CARD,BSF,0,"Customers who shopped at a Wawa on Salem Road in Burlington, New Jersey noticed fraudulent purchases on their credit cards.  Investigators were able to trace the fraud to four people and arrest them. The four men were charged with credit card theft, credit card fraud, identity theft, and having electronic devices for criminal use.  More victims are expected to be found.",Media,,2013,40.071222,-74.864887
4-29-2013,Gomez Gasoline and Automotive,Watsonville,California,CARD,BSR,50,More than 50 reports of credit card fraud have been traced to people who were customers at Gomez Gasoline and Automotive.  Police suspect that a credit-card skimming device was placed on one or more gas pumps.  The skimming devices have been spotted at other gas stations.,Media,,2013,36.910231,-121.756895
05/07/2013,Mapco,Brentwood,Tennessee,CARD,BSR,0,"Customers who made purchases between March 19-25, April 14-15, or April 20-21 may have had their credit or debit card information compromised.  Tennessee and six other Southern states may have been affected by the breach. It is not clear if the payment card information was taken inside the stores or outside of the stores at gas pumps.UPDATE (06/10/2013): The accounts of consumers who used payment cards at 373 Mapco Express stores may have been affected. Two additional locations in Tennessee were affected on April 14 and 15. There are unnamed stores that may have been affected on April 20 and 21.UPDATE (07/08/2013): Three lawsuits have been filed as a result of data stolen in three MAPCO breaches that occurred in March, April, and June.",Media,,2013,36.033116,-86.782777
07/02/2013,Quayside Publishing Group,Minneapolis,Minnesota,CARD,BSO,0,"A credit card breach resulted in the exposure of information. Customers who made online purchases at Quayside Publishing Group had their information exposed sometime around April 29.  Names, addresses, and credit card numbers were exposed until June 17.",California Attorney General,,2013,44.977753,-93.265011
7-29-2013,Wal-Mart,,Oklahoma,CARD,BSR,0,"Two men were indicted for their role in a skimming plot.  They are accused of fraudulently obtaining $400,000 by placing skimming devices at gas pumps at Wal-Mart stores for up to two months at a time.  The then created counterfeit cards by using hte legitimate card information obtained through skimming.  The skimming ring ran from April 2012 through January 2013.",Media,,2013,35.007752,-97.092877
9-20-2013,Murphy USA,Little Rock,Arkansas,CARD,BSR,0,"Two men pleaded guilty to one count each of conspiracy to commit wire fraud.  They placed skimming devices on gas pumps at Murphy USA station in Conway and Little Rock, Arkansas as well as Durant, Oklahoma.  This allowed them to collect credit card information and create fraudulent credit cards.  The breach occurred between April 2012 and January 2013 and led to fraudulent charges of about $400,000. It's estimated that between 50 and 500 people were affected.",Media,,2013,34.746481,-92.289595
10/10/2013,Nordstrom,Aventura,Florida,CARD,BSR,0,"Six skimmers were found on registers in one Nordstrom store in Aventura.  Six people were seen tending to the devices on the afternoon of October 5. They came in groups of three and distracted sales people while tampering with the registers, twice.  Skimmers and tiny cameras were installed to collect credit card information.  The information can be used to make fraudulent credit cards.",Media,,2013,25.956481,-80.139212
10-18-2013,Long Island Rail Road,Long Island,New York,CARD,BSR,0,"Ticket vending machines associated with Long Island Rail Road were discovered to have been compromised.  Customers who used their debit and credit cards at the machines may have had their information recorded and used to create fraudulent payment cards.  Tiny cameras were placed on the machines and hidden in thin black strips.  A total of seven machines in Bayside, Garden City, Great Neck, Greenvale, and Merillon Avenue were compromised.",Media,,2013,40.789142,-73.134961
12/12/2013,Boston Convention and Exhibition Center,Boston,Massachusetts,CARD,BSO,300,At least seven employees of Boston Convention and Exhibition Center and 300 people who attended conventions during the fall may have been affected by a credit card breach.  It is unclear how the credit card information may have been accessed and the exact dates when customers would have been vulnerable.,Media,,2013,42.360083,-71.05888
2-21-2014,Discover Financial Services,Salt Lake City,Utah,CARD,BSF,0,Discover Financial Services sent a notice to their card holders that they were replacing their current cards in wake of all of the retail data breaches. They stated this was not due to a breach of their own systems. The card replacement specifically replaces the security codes on the back of the card withouth changing the card holders current account number.They have stated to their members this was strictly a security measure on behalf of Discover Financial Services. No information was communicated in the letter that the members card had been compromised.,California Attorney General,,2014,40.760779,-111.891047
04/07/2014,American Express Company,New York,New York,CARD,BSF,0,"Amercian Express Company informed customers that their credit card information was recovered as part of an investigation by law enforcement agencies and/or American Express. The information reportedly only included the American Express Card account numbers, no Social Security numbers were impacted.Those individuals who notice suspicious activity on their account are asked to call 1-855-693-22131-855-693-2213 to notify the company.CallSend SMSAdd to SkypeYou'll need Skype CreditFree via Skype",California Attorney General,,2014,40.713611,-74.014722
01/06/2016,McFadden,Glendale,Arizona,CARD,BSO,0,"People who ate at McFadden's received phone calls about fraudulent charges made to their credit card. ""The victims were told by their banks, the charges were made using a fake
 credit card. ABC15 found even more victims when we searched on Yelp. 
One writes, the manager told them they were aware of the problem, 
suggesting a problem with the bank.""More information: http://www.abc15.com/news/region-west-valley/glendale/mcfaddens-at-westg...",Media,,2016,34.142508,-118.255075
1-15-2018,"Jason's Deli - Deli Management, Inc. ",,,CARD,BSR,"20,00,000","On December 22, 2017, Jason’s Deli was notified by payment processors that credit card security personnel had informed it that a large quantity of payment card information had appeared for sale on the “dark web,” and that an analysis of the data indicated that at least a portion of the data may have come from various Jason’s Deli locations. From our initial investigation findings, criminals deployed RAM-scraping malware on a number of our point-of-sales (POS) terminals at various corporate-owned Jason’s Deli restaurants Based on the facts known to Jason’s Deli at this time, the Company believes that the criminals used the malware to obtain payment card information off of the POS terminals beginning on June 8, 2017. Our investigation has determined that approximately 2 million unique payment card numbers may have been impacted in total.",Government Agency,https://justice.oregon.gov/consumer/DataBreach/Home/GetBreach/593620175,2017,37.09024,-95.712891
1-24-2018,Gourmesso,,Maine,CARD,BSR,1,Discover Card account information of 1 Maine citizen breached. ,Government Agency,http://www.maine.gov/ag/consumer/identity_theft/,2017,37.09024,-95.712891
2-25-2005,PayMaxx,Miramar,Florida,DISC,BSF,"1,00,000","A software glitch at PayMaxx Inc., a Franklin, Tenn., payroll 
processing company, accidentally revealed personal financial 
information on as many as 100,000 individuals, including Social Security numbers. The problem arose in a PayMaxx feature that enabled employees to use the 
Internet to get their W-2 forms, the standard tax information form 
issued by companies to their employees. ",Dataloss DB,,2005,25.987314,-80.232271
03/11/2005,Kaiser Permanente,Oakland,California,DISC,MED,140,"A disgruntled employee 
            posted information on her blog noting that Kaiser Permanente included 
            private patient information on systems diagrams posted on the Web. 
            
            UPDATE (6/21/2005): The California Department of Managed 
            Health Care fined Kaiser $200,000 for exposing the confidential health 
            information.",Dataloss DB,,2005,37.804372,-122.270803
05/05/2005,Arbella Mutual Insurance Company,Quincy,Massachusetts,DISC,BSF,0,"A customer discovered that he could view the Registry of Motor Vehicles database by visiting a website printed on the bottom of his insurance paperwork.  He was able to look up people by name and then obtain their address, date of birth, license number, driving history and even their Social Security number most times.  The company corrected the problem quickly.  The company believes the error was temporary and that few outsiders were able to access the information.",Dataloss DB,,2005,42.252877,-71.002271
6-21-2005,CVS,Woonsocket,Rhode Island,DISC,BSR,0,"CASPIAN, a consumer privacy group, notified CVS of a security hole that allowed people to access information about purchases made by customers who used a CVS Corp. loyalty card.  Anyone with someone's card number, zip code and the first three letters of the customer's last name could have a list of recent purchases sent to an email account. The company removed Internet access to the information.  Fifty million loyalty cards have been issued.",Dataloss DB,,2005,42.002876,-71.514784
6-28-2005,Lucas County Children Services,Toledo,Ohio,DISC,GOV,900,"Data from around 500 former and 400 current employees from as far back as 1991 were sent outside the organization via e-mail.  The data included names, Social Security numbers, and telephone numbers.  Current employees were contacted immediately and letters were sent to former employees.",Media,,2005,41.663938,-83.555212
07/12/2005,University of Southern California (USC),Los Angeles,California,DISC,EDU,"2,70,000",A reporter contacted USC based on an individual's claim to be able to access personal information on college applicants online.  USC removed the site pending investigation and sent letters to affected individuals.,Security Breach Letter,,2005,34.052234,-118.243685
7-30-2005,Austin Peay State University,Clarksville,Tennessee,DISC,EDU,"1,500","The University removed student Social Security numbers, grade point averages and names that were accidentally posted.  A student alerted the University to the problem after searching his name and finding the information on the website.  A school employee put the internal documents on the website to email other staff members the information, but forgot to remove the information from the website.",Dataloss DB,,2005,36.529771,-87.359453
08/12/2005,Verizon,New York,New York,DISC,BSR,0,A website flaw allowed customers to check the account details of other customers if they knew their phone numbers.  Users' minutes and cell phone models could be viewed in this manner.  This unintentional feature may have gone unnoticed for five years due to a glitch.,Dataloss DB,,2005,40.714353,-74.005973
8-30-2005,Stark State College of Technology,North Canton,Ohio,DISC,EDU,"7,058","Students attempting to access their grades, financial aid information and academic standing were able to view the information of other students.  Social Security numbers, GPA, and course enrollment were viewable.  A glitch is believed to be the source of the problem.",Dataloss DB,,2005,40.875891,-81.402336
9-15-2005,Miami University,Hamilton,Ohio,DISC,EDU,"21,762",A report containing Social Security numbers and grades of students was accessible online for three years.  The University is attempting to contact those affected via letters and emails.  A graduate alerted the University to the exposure after running a Google.com search of her name.,Dataloss DB,,2005,39.399501,-84.561336
9-22-2005,City University of New York,New York,New York,DISC,EDU,771,"An unprotected payroll link exposed personal information for Hunter College Campus Schools.  Those affected included 335 Queens College law school students, 265 current workers and 171 former workers at local elementary and high schools.  All affected people were contacted.",Dataloss DB,,2005,40.714269,-74.005973
10/12/2005,Ohio State University Medical Center,Columbus,Ohio,DISC,MED,"2,800","Appointment 
            information including Social Security numbers, birth dates, addresses, phone numbers, medical record numbers, reasons for appointments, and physicians was exposed online.",Security Breach Letter,,2005,39.961176,-82.998794
10-15-2005,Montclair State University,Montclair,New Jersey,DISC,EDU,"9,100",Names and Social Security numbers of undergraduates were posted online for nearly four months.  An undergraduate alerted the University after running a Google.com search of his name.  The University warned all students of the problem.,Dataloss DB,,2005,40.825933,-74.209034
10-20-2005,Monmouth University,West Long Branch,New Jersey,DISC,EDU,677,The names and Social Security numbers of 677 students were posted online for over four months.  The University corrected the error and notified students after a student notified them of the problem.  A glitch seems to have caused the information to be found through a simple Internet search.,Dataloss DB,,2005,40.290389,-74.017638
10-20-2005,Vermont Technical College,Randolph Center,Vermont,DISC,EDU,0,"Names, Social Security numbers, addresses, SAT scores and ethnicity of all students enrolled during 2003 were posted online from January 2004 until the mistake was discovered in October of 2005.  Someone accidentally sent the data to a publicly accessible place.",Dataloss DB,,2005,43.940899,-72.607603
10-29-2005,University of Tennessee,Knoxville,Tennessee,DISC,EDU,"1,900",Nineteen hundred students and employees had their names and Social Security numbers posted on the Internet from spring of 2004 until the discovery in October of 2005.  A student searched her name and found it listed with her Social Security number on a UT email discussion group site.  Information pertaining to individuals who had either paid or owed small amounts of money to the University was shared among 10 employees and the information technology office.  The information was mistakenly coded as public rather than private.,Dataloss DB,,2005,35.960638,-83.920739
11/07/2005,Papa John's,Louisville,Kentucky,DISC,BSR,0,"An error made thousands of customer comments and internal corporate emails available to anyone searching the Internet.  Customer comments submitted between September 29 and November 7 were viewable and had customer names, addresses, phone numbers and email addresses attached.  The company stated that ""customer feedback over the last five weeks...could be viewed by a user who would have to enter a very specific, unpublished URL.""  The system now requires a password.",Dataloss DB,,2005,38.252665,-85.758456
12/08/2005,J-Sargeant Reynolds Community College,Richmond,Virginia,DISC,EDU,"26,000","The names, Social Security numbers and addresses of students taking non-credit classes from 2000 to 2003 were posted online for months.  The information was compiled for a mailing list, but an employee posted it on the College's server.  A student informed officials of the mistake after accessing the information online.  The College began the process of removing the information from the web.",Dataloss DB,,2005,37.542979,-77.469092
12-16-2005,Colorado Technical University (CTU),Colorado Springs,Colorado,DISC,EDU,300,"An email was erroneously sent which contained 
            names, phone numbers, email addresses, Social Security numbers and 
            
            class schedules.",Security Breach Letter,,2005,38.833882,-104.821363
12-22-2005,H&R Block,Kansas City,Missouri,DISC,BSO,0,"Many past and present customers received unsolicited copies of the program TaxCut that displayed their Social Security numbers on the outside, embedded in a lengthy string of code.",Security Breach Letter,,2005,39.099727,-94.578567
01/02/2006,H&R Block,Kansas City,Missouri,DISC,BSO,0,"H&R Block included Social Security numbers in a 40-digit 
            number string on mailing labels.  Affected individuals were contacted.",Dataloss DB,,2006,39.099727,-94.578567
1-20-2006,University of Kansas (Kansas University),Lawrence,Kansas,DISC,EDU,"9,200","A computer file with sensitive personal information was accessible to the public.  Students who applied and paid an application fee online between April 29, 2001 and December 16, 2005 had their names, Social Security numbers, birth dates, addresses, phone numbers and credit card numbers exposed.",Dataloss DB,,2006,38.971669,-95.23525
1-31-2006,Boston Globe (The New York Times Company) and The Worcester Telegram & Gazette,Boston,Massachusetts,DISC,BSO,"2,40,000","Recycled paper used in wrapping newspaper 
            bundles for distribution turned out to contain credit and debit card information along with routing information for 
            personal checks of subscribers.  ",Dataloss DB,,2006,42.358431,-71.059773
02/01/2006,Blue Cross and Blue Shield of North Carolina,Durham,North Carolina,DISC,BSO,629,"Social Security numbers of members were printed on the mailing labels of envelopes with information 
            about a new insurance plan.  Those who were affected were contacted immediately.",Dataloss DB,,2006,35.994033,-78.898619
02/04/2006,FedEx,Los Angeles,California,DISC,BSO,"1,100","Eighty-five hundred W-2 forms including other workers' tax information such as Social Security numbers and 
            salaries were sent out to employees. Fewer than 1,100 employees had their information exposed.  The company suspects that their internal processing center may have misaligned the forms and caused them to be cut in the wrong place. Workers were asked not to open their W-2s, but many had already done so before the notification. ",Dataloss DB,,2006,34.052234,-118.243685
02/06/2006,Prudential Financial Inc.,Newark,New Jersey,DISC,BSF,"1,000","A health insurer claims data were erroneously faxed to a company in Canada by doctors and clinics across the U.S.. 
            Data included the patients' Social Security numbers, bank account details 
            and health care information.",Media,,2006,40.735657,-74.172367
2-15-2006,U.S. Department of Agriculture (USDA),Washington,District Of Columbia,DISC,GOV,"3,50,000","The Social Security numbers of tobacco farmers were accidentally released when the U.S. Department of Agriculture attempted to comply with the Freedom of Information Act.  Those who received the information agreed to destroy any copies and return the original discs, which also contained tax identification numbers.",Dataloss DB,,2006,38.895112,-77.036366
2-15-2006,Suffolk County Clerk's Office,Long Island,New York,DISC,GOV,"7,000","Between 7,000 and 8,000 homeowners had their Social Security numbers accidentally posted online.  After realizing the mistake, County officials realized that they could not remove the information.  People who pay to access the County's public records online will be able to see the Social Security numbers associated with people and addresses in the system that date back to 2001.  The county could not alter public records in any way, but a new program will be implemented to block the Social Security numbers from newly recorded documents.",Dataloss DB,,2006,40.714353,-74.005973
2-15-2006,Old Dominion University,Norfolk,Virginia,DISC,EDU,601,"An instructor 
            posted a class roster containing names and Social Security numbers 
            to a publicly accessible website.  The information was posted during the spring semester of 2004.  Letters were sent to affected students which contained websites where the students could check to see if they had been victims of identity theft.",Dataloss DB,,2006,36.846815,-76.285218
2-16-2006,The Princeton Review,New York,New York,DISC,BSR,0,"An unauthorized user attempted to obtain the IDs and passwords of a small number of account holders. A small number of the accounts may have contained names, Social Security numbers,  dates of birth, email addresses, mailing addresses and information from college applications.  The unauthorized user may have had access to the information before the February 10 incident was discovered. At least 35 New York residents were affected.",Dataloss DB,,2006,40.714353,-74.005973
2-20-2006,"Capital Computer Associates, Spencerport School District",Albany,New York,DISC,BSF,17,Seventeen employees of Spencerport School District had their Social Security numbers and names posted on a website that could be viewed by any office staff at Capital Computer's client sites in New York State school districts and Boards of Cooperative Educational Services (BOCES).  The information was supposed to be fictitious and used to notify users of changes to the software they use to process accounting and human resource data. The posting occurred on February 14 and was removed at the end of the day on February 16.,Dataloss DB,,2006,42.652579,-73.756232
03/02/2006,Hamilton County Clerk of Courts,Cincinnati,Ohio,DISC,GOV,"13,00,000","Social Security numbers, and other personal data              of residents was posted on the County's website.  Some information was stolen and used to commit              identity theft. UPDATE              (9/28/06):An identity thief was sentenced              to 13 years in prison for the crimes. She stole 100 identities and              nearly $500,000. The Web site now blocks access to court documents              containing personal information.",Dataloss DB,,2006,39.14801,-84.47702
03/10/2006,"Long Island University, Alpha Chi National Honors Society",Brooklyn,New York,DISC,EDU,51,"Students who applied to join Alpha Chi had their Social Security numbers and other personal information sent to an Honors student email list.  The email was recalled immediately, but anyone who opened it right away would have been able to access the applicant information.  The advisor responsible for the mistake asked the National Office to consider abandoning the use of Social Security numbers.",Dataloss DB,,2006,40.65,-73.95
3-22-2006,District of Columbia Board of Elections and Ethics,Washington,District Of Columbia,DISC,GOV,0,The Social Security numbers of registered voters in the District of Columbia were accessible.  D.C. residents' voting histories were mailed with Social Security numbers that were poorly hidden or not hidden at all.  The problem occurred because residents were asked to use their Social Security numbers as voter IDs.  The policy was changed to include only the last four digits of Social Security numbers.,Dataloss DB,,2006,38.895112,-77.036366
3-24-2006,California State Employment Development Division,Sacramento,California,DISC,GOV,"64,000","A computer glitch sent state 
            Employment Development Division 1099 tax forms containing Social Security 
            numbers and income information to the wrong addresses, potentially 
            exposing those taxpayers to identity theft.",Dataloss DB,,2006,38.581572,-121.4944
3-29-2006,University of Nebraska Lincoln (UNL),Lincoln,Nebraska,DISC,EDU,342,"Students from the College of Engineering had Social Security numbers, email addresses, grade point averages and other personal information posted online.  The information may have been posted since November of 2004 and was first noticed in summer of 2005.  The problem was finally fixed during the week of March 29 when the file was removed from the Google server.",Dataloss DB,,2006,40.806862,-96.681679
3-30-2006,Connecticut Technical High School System,Middletown,Connecticut,DISC,EDU,"1,250","Social Security numbers 
            of faculty and administrators were mistakenly distributed via email to staff.  The email went to 17 principals; at least one forwarded the email to her staff of 77.  Those affected were contacted.",Dataloss DB,,2006,41.562321,-72.650649
04/07/2006,DiscountDomainRegistry.com,Brooklyn,New York,DISC,BSO,"1,000","Domain name registrants' personal information including user names, passwords and 
            credit card numbers was accessible online.  The information may have been exposed online for four months.",Dataloss DB,,2006,40.650104,-73.949582
04/10/2006,Broward County Records Division,Fort Lauderdale,Florida,DISC,GOV,0,"Broward County public records with Social Security numbers, driver's license information and bank account details were made available online.  The information has been available online for several years.  A new statute that will require county recorders to remove Social Security numbers and financial information from public documents before posting documents online will take effect in 2007.  The sensitive information that has already been posted will eventually be removed. Individuals can speed up the process of having their specific information removed by submitting a written request.",Dataloss DB,,2006,26.122308,-80.143379
